pubmed articles,sample_id
18539794,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
22634038,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
27119622,"['lp_0050', 'lp_0789', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
28830089,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
28261192,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
27815279,"['lp_0172', 'lp_0173', 'lp_1424', 'lp_1425', 'lp_2376', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
15900965,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2376', 'lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
23170998,"['lp_0172', 'lp_0173', 'lp_2578', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945', 'lp_0373']"
22037312,"['lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2578', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945', 'lp_3050', 'lp_0373']"
23734819,"['lp_0789', 'lp_2578', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
18512940,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_2578', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945', 'lp_3050', 'lp_0373']"
24861375,"['lp_0050', 'lp_0789', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_2631', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945']"
21349328,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2714', 'lp_2991', 'lp_3014', 'lp_2943', 'lp_0373']"
