pubmed articles,sample_id
18810532,"['lp_0789', 'lp_0373']"
26141059,"['lp_0789', 'lp_0373']"
25359406,"['lp_0271', 'lp_0272']"
18054106,"['lp_0271', 'lp_0272']"
24708557,"['lp_0271', 'lp_0272']"
23836494,"['lp_0271', 'lp_0272']"
19601665,"['lp_0271', 'lp_0272']"
15364474,"['lp_0271', 'lp_0272']"
26715179,"['lp_0271', 'lp_0272']"
20438129,"['lp_0271', 'lp_0272']"
18044455,"['lp_0271', 'lp_0272']"
23545659,"['lp_0271', 'lp_0272']"
19542339,"['lp_0271', 'lp_0272']"
24861311,"['lp_0271', 'lp_0272']"
24577784,"['lp_0271', 'lp_0272']"
23648840,"['lp_0271', 'lp_0272']"
23546829,"['lp_0271', 'lp_0272']"
25920332,"['lp_0271', 'lp_0272']"
28865074,"['lp_0271', 'lp_0272']"
17957109,"['lp_0271', 'lp_0272']"
19387973,"['lp_0271', 'lp_0272']"
17416066,"['lp_0271', 'lp_0272']"
24936346,"['lp_0271', 'lp_0272']"
19649735,"['lp_0271', 'lp_0272']"
11097909,"['lp_0271', 'lp_0272']"
29091336,"['lp_0271', 'lp_0272']"
24613317,"['lp_0271', 'lp_0272']"
10877812,"['lp_0271', 'lp_0272']"
16463321,"['lp_0271', 'lp_0272']"
10919793,"['lp_0271', 'lp_0272']"
16574410,"['lp_0271', 'lp_0272']"
25217009,"['lp_0271', 'lp_0272']"
15053327,"['lp_0271', 'lp_0272']"
21279470,"['lp_0271', 'lp_0272']"
14768027,"['lp_0271', 'lp_0272']"
23035941,"['lp_0271', 'lp_0272']"
26279142,"['lp_0271', 'lp_0272']"
17890341,"['lp_0271', 'lp_0272']"
26187828,"['lp_0271', 'lp_0272']"
22802930,"['lp_0271', 'lp_0272']"
28533181,"['lp_0271', 'lp_0272']"
27273017,"['lp_0271', 'lp_0272']"
29868308,"['lp_0271', 'lp_0272']"
29662105,"['lp_0271', 'lp_0272']"
29750492,"['lp_0271', 'lp_0272']"
20112419,"['lp_0271', 'lp_0272']"
15474471,"['lp_0271', 'lp_0272']"
7601825,"['lp_0271', 'lp_0272']"
27068590,"['lp_0271', 'lp_0272']"
9546183,"['lp_0271', 'lp_0272']"
25647642,"['lp_0271', 'lp_0272']"
16758158,"['lp_0271', 'lp_0272']"
25862228,"['lp_0271', 'lp_0272']"
12844210,"['lp_0271', 'lp_0272']"
18388975,"['lp_0271', 'lp_0272']"
1639814,"['lp_0271', 'lp_0272']"
24750362,"['lp_0271', 'lp_0272']"
21501384,"['lp_0271', 'lp_0272']"
11229892,"['lp_0271', 'lp_0272']"
17420004,"['lp_0271', 'lp_0272']"
24334092,"['lp_0271', 'lp_0272']"
20333439,"['lp_0271', 'lp_0272']"
15118811,"['lp_0271', 'lp_0272']"
7649179,"['lp_0271', 'lp_0272']"
8383109,"['lp_0271', 'lp_0272']"
15345383,"['lp_0271', 'lp_0272']"
16030014,"['lp_0271', 'lp_0272']"
2254264,"['lp_0271', 'lp_0272']"
12743737,"['lp_0271', 'lp_0272']"
28800848,"['lp_0271', 'lp_0272']"
29859669,"['lp_0271', 'lp_0272']"
2244788,"['lp_0271', 'lp_0272']"
28966611,"['lp_0271', 'lp_0272']"
27815071,"['lp_0271', 'lp_0272']"
26083754,"['lp_0271', 'lp_0272']"
29199988,"['lp_0271', 'lp_0272']"
5309907,"['lp_0271', 'lp_0272']"
28433287,"['lp_0271', 'lp_0272']"
28719183,"['lp_0271', 'lp_0272']"
29482557,"['lp_0271', 'lp_0272']"
11430429,"['lp_0271', 'lp_0272']"
29392561,"['lp_0271', 'lp_0272']"
29602385,"['lp_0271', 'lp_0272']"
29274418,"['lp_0271', 'lp_0272']"
27506494,"['lp_0271', 'lp_0272']"
27784942,"['lp_0271', 'lp_0272']"
27610105,"['lp_0271', 'lp_0272']"
29123334,"['lp_0271', 'lp_0272']"
